"cryptoId","start","duration","open","close","high","low","volumeUSD","source","count","average","std","positive","negative","score"
"ada","1551312000000","86400000",0.04295,0.04283,0.04468,0.04264,167365.93,"telegram",1,3,0,0,0,NaN
"ada","1551398400000","86400000",0.04283,0.04358,0.04454,0.04202,65230.15,"telegram",2,3,0,0,0,NaN
"ada","1551484800000",86400000,0.04358,0.04228,0.04439,0.04178,37233.48,,,,,,,
"ada","1551571200000",86400000,0.04228,0.04035,0.04364,0.03944,202626.13,,,,,,,
"ada","1551657600000","86400000",0.04035,0.0427,0.04371,0.03983,137347,"telegram",1,4,0.4714045207910317,1,0,1
"ada","1551744000000","86400000",0.0427,0.04344,0.0436,0.04185,92750.7,"telegram",3,2.6666666666666665,0.4714045207910317,0,0.3333333333333333,0
"ada","1551830400000","86400000",0.04344,0.04259,0.04391,0.04204,90545.57,"telegram",3,2.6666666666666665,0.4714045207910317,0,0.3333333333333333,0
"ada","1551916800000","86400000",0.04259,0.04245,0.04404,0.04203,86315.96,"telegram",1,3,0,0,0,NaN
"ada","1552003200000","86400000",0.04245,0.04644,0.04689,0.04236,280619.02,"telegram",5,2.6,0.4898979485566356,0,0.4,0
"ada","1552089600000",86400000,0.04644,0.04534,0.04648,0.04415,197582.64,,,,,,,
"ada","1552176000000",86400000,0.04534,0.04755,0.0483,0.04458,225847.93,,,,,,,
"ada","1552262400000","86400000",0.04755,0.04717,0.04846,0.04474,345295.97,"telegram",3,3,0,0,0,NaN
"ada","1552348800000","86400000",0.04717,0.04624,0.04876,0.0457,184508.03,"telegram",4,2.75,0.4330127018922193,0,0.25,0
"ada","1552435200000","86400000",0.04624,0.04738,0.04856,0.04583,147942.89,"telegram",4,2.75,0.4330127018922193,0,0.25,0
"ada","1552521600000","86400000",0.04738,0.04972,0.05067,0.04736,407985.02,"telegram",6,2.5,0.5,0,0.5,0
"ada","1552608000000","86400000",0.04972,0.05122,0.05143,0.04902,371689.21,"telegram",5,2.4,1.3564659966250536,0.2,0.4,0.5545997223493822
"ada","1552694400000",86400000,0.05122,0.04974,0.05138,0.04929,251621.84,,,,,,,
"ada","1552780800000",86400000,0.04974,0.0499,0.05121,0.04891,231146.56,,,,,,,
"ada","1552867200000","86400000",0.0499,0.05199,0.0532,0.0491,368355.5,"telegram",2,3,0,0,0,NaN
"ada","1552953600000","86400000",0.05199,0.05341,0.05363,0.05098,333864.62,"telegram",2,3,0,0,0,NaN
"ada","1553040000000","86400000",0.05341,0.05238,0.05447,0.04998,521188.18,"telegram",4,2.5,0.5,0,0.5,0
"ada","1553126400000","86400000",0.05238,0.05774,0.05855,0.05175,813290.41,"telegram",2,2.5,0.5,0,0.5,0
"ada","1553212800000","86400000",0.05774,0.06328,0.06413,0.0567,870124.55,"telegram",7,2.142857142857143,0.989743318610787,0,0.5714285714285714,0
"ada","1553299200000",86400000,0.06328,0.0612,0.07048,0.0588,989512.78,,,,,,,
"ada","1553385600000",86400000,0.0612,0.05864,0.06133,0.05605,813238.19,,,,,,,
"ada","1553472000000","86400000",0.05864,0.06162,0.0617,0.05784,558887.17,"telegram",2,2.5,0.5,0,0.5,0
"ada","1553558400000","86400000",0.06162,0.06683,0.06758,0.06045,838480.63,"telegram",6,2.3333333333333335,0.4714045207910317,0,0.6666666666666666,0
"ada","1553644800000","86400000",0.06683,0.06523,0.06683,0.06359,473731.52,"telegram",3,2.3333333333333335,0.4714045207910317,0,0.6666666666666666,0
"ada","1553731200000","86400000",0.06523,0.07134,0.07266,0.06522,1014687.12,"telegram",3,3,0,0,0,NaN
"ada","1553817600000","86400000",0.07134,0.07167,0.07267,0.06847,733313.25,"telegram",6,2.5,0.7637626158259734,0.16666666666666666,0.6666666666666666,0.6351489523872873
"ada","1553904000000",86400000,0.07167,0.06993,0.07208,0.06925,195480.18,,,,,,,
"ada","1553990400000",86400000,0.06993,0.07167,0.07264,0.06859,586997.84,,,,,,,
"ada","1554076800000","86400000",0.07167,0.08596,0.08596,0.07034,2241160.57,"telegram",6,2.5,0.5,0,0.5,0
"ada","1554163200000","86400000",0.08596,0.09104,0.1016,0.06139,3988588.62,"telegram",2,3,0,0,0,NaN
"ada","1554249600000","86400000",0.09104,0.08761,0.09455,0.08151,1725388.44,"telegram",2,3,1,0.5,0.5,1
"ada","1554336000000","86400000",0.08761,0.09093,0.09236,0.08727,839936.98,"telegram",3,2.6666666666666665,0.4714045207910317,0,0.3333333333333333,0
"ada","1554422400000","86400000",0.09093,0.08991,0.09395,0.08738,632273.57,"telegram",1,2,0,0,1,0
"ada","1554508800000",86400000,0.08991,0.08985,0.09131,0.08823,619846.27,,,,,,,
"ada","1554595200000",86400000,0.08985,0.08706,0.0917,0.08346,917512.66,,,,,,,
"ada","1554681600000","86400000",0.08706,0.08372,0.08706,0.08114,543608.14,"telegram",2,3,0,0,0,NaN
"ada","1554768000000","86400000",0.08372,0.08959,0.09258,0.08348,1030062.08,"telegram",4,2.75,0.4330127018922193,0,0.25,0
"ada","1554854400000","86400000",0.08959,0.08313,0.09026,0.07692,1070035.04,"telegram",3,3.3333333333333335,0.4714045207910317,0.3333333333333333,0,1
"ada","1554940800000","86400000",0.08313,0.08395,0.08533,0.08007,530369.91,"telegram",3,2.6666666666666665,0.4714045207910317,0,0.3333333333333333,0
"ada","1555027200000",86400000,0.08395,0.08351,0.08547,0.08233,367439.01,,,,,,,
"ada","1555113600000",86400000,0.08351,0.08453,0.08526,0.08115,199160.19,,,,,,,
"ada","1555200000000",86400000,0.08453,0.08251,0.08541,0.08027,625844.63,,,,,,,
"ada","1555286400000","86400000",0.08251,0.08341,0.08383,0.08005,454760.87,"telegram",2,3.5,0.5,0.5,0,1
"ada","1555372800000","86400000",0.08341,0.08283,0.08444,0.08181,502144.53,"telegram",5,2.8,0.7483314773547882,0.2,0.4,0.5545997223493822
"ada","1555459200000","86400000",0.08283,0.08164,0.08394,0.08114,309954.16,"telegram",29,2.1379310344827585,0.8599975112648227,0.06896551724137931,0.7586206896551724,0.25769358918141627
"ada","1555545600000","86400000",0.08164,0.07925,0.08179,0.07771,738976.25,"telegram",31,2.5806451612903225,1.0402913223611032,0.16129032258064516,0.3870967741935484,0.43115090803258926
"ada","1555632000000",86400000,0.07925,0.07619,0.07937,0.07502,993964.09,,,,,,,
"ada","1555718400000",86400000,0.07619,0.07401,0.07761,0.07139,595158.18,,,,,,,
"ada","1555804800000",86400000,0.07401,0.07802,0.07959,0.07212,641348.77,,,,,,,
"ada","1555891200000","86400000",0.07802,0.07413,0.08002,0.07394,500212.83,"telegram",1,4,0,1,0,1
"ada","1555977600000",86400000,0.07413,0.0724,0.07564,0.0684,980420.69,,,,,,,
"ada","1556064000000","86400000",0.0724,0.06843,0.07593,0.06707,1064019.37,"telegram",1,3,0,0,0,NaN
"ada","1556150400000","86400000",0.06843,0.06803,0.0693,0.06541,681923.47,"telegram",1,3,0,0,0,NaN
"ada","1556236800000","86400000",0.06803,0.06947,0.07156,0.06707,242894.26,"telegram",2,2.5,0.5,0,0.5,0
"ada","1556323200000",86400000,0.06931,0.06739,0.07228,0.06659,126869.22,,,,,,,
"ada","1556409600000",86400000,0.06739,0.06362,0.06967,0.06328,343714.69,,,,,,,
"ada","1556496000000","86400000",0.06362,0.06953,0.06959,0.06362,368277.77,"telegram",2,3,0,0,0,NaN
"ada","1556582400000","86400000",0.06953,0.06811,0.07017,0.06624,418733.96,"telegram",4,2,0.4714045207910317,0,1,0
"ada","1556668800000","86400000",0.06811,0.06739,0.06878,0.06704,267855.42,"telegram",1,3,0.5,0,0,NaN
"ada","1556755200000","86400000",0.06739,0.06882,0.07343,0.06656,921530.29,"telegram",2,2,0,0,1,0
"ada","1556841600000","86400000",0.06882,0.06626,0.07137,0.06531,844915.77,"telegram",1,3,0.5,0,0,NaN
"ada","1556928000000",86400000,0.06626,0.06556,0.06721,0.06489,275696.45,,,,,,,
"ada","1557014400000",86400000,0.06556,0.06611,0.06808,0.06294,497359.88,,,,,,,
"ada","1557100800000",86400000,0.06611,0.06313,0.06833,0.06295,554755.46,,,,,,,
"ada","1557187200000","86400000",0.06313,0.06395,0.06471,0.06186,337544.84,"telegram",3,2.6666666666666665,0.4714045207910317,0,0.3333333333333333,0
"ada","1557273600000","86400000",0.06395,0.06132,0.06486,0.06003,514781.67,"telegram",4,3,0,0,0,NaN
"ada","1557360000000","86400000",0.06132,0.06302,0.06521,0.05896,676645.78,"telegram",5,2,1.0954451150103321,0,0.6,0
"ada","1557446400000","86400000",0.06302,0.07584,0.07922,0.063,2333373.57,"telegram",4,2,1.224744871391589,0,0.5,0
"ada","1557532800000","86400000",0.07584,0.0704,0.07736,0.06801,1878910.94,"telegram",3,2.3333333333333335,0.4714045207910317,0,0.6666666666666666,0
"ada","1557619200000",86400000,0.0704,0.07275,0.07693,0.06972,1272399.53,,,,,,,
"ada","1557705600000","86400000",0.07275,0.08481,0.08481,0.07275,1999605.76,"telegram",1,3,0,0,0,NaN
"ada","1557792000000","86400000",0.08481,0.09408,0.09563,0.08304,2538036.22,"telegram",7,2.4285714285714284,0.49487165930539345,0,0.5714285714285714,0
"ada","1557878400000","86400000",0.09408,0.08765,0.1004,0.08333,3179980.98,"telegram",3,2.3333333333333335,0.4714045207910317,0,0.6666666666666666,0
"ada","1557964800000","86400000",0.08765,0.08325,0.08995,0.07386,3297380.45,"telegram",3,3,0.816496580927726,0.3333333333333333,0.3333333333333333,0.9051482536448663
"ada","1558051200000","86400000",0.08325,0.07835,0.08467,0.07743,938694.39,"telegram",6,2.8333333333333335,0.3726779962499649,0,0.16666666666666666,0
"ada","1558137600000",86400000,0.07835,0.08693,0.08833,0.07746,1404638.17,,,,,,,
"ada","1558224000000",86400000,0.08693,0.0846,0.08732,0.07927,1170441.7,,,,,,,
"ada","1558310400000","86400000",0.0846,0.08453,0.08651,0.08213,670119.61,"telegram",2,3.5,0.5,0.5,0,1
